buyer,industry_buy,m_cp
ARG,"Agriculture, hunting, forestry, and fishing",1
ARG,Rubber and plastics,1
ARG,Other nonmetallic minerals,0
ARG,Basic metals and fabricated metal,0
ARG,"Machinery, nec",0
ARG,Electrical and optical equipment,0
ARG,Transport equipment,0
ARG,"Manufacturing, nec; recycling",0
ARG,"Electricity, gas, and water supply",0
ARG,Construction,0
ARG,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",1
ARG,Mining and quarrying,1
ARG,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",1
ARG,"Retail trade, except of motor vehicles and motorcycles; repair of household goods",1
ARG,Hotels and restaurants,1
ARG,Inland transport,1
ARG,Water transport,0
ARG,Air transport,0
ARG,Other supporting and auxiliary transport activities; activities of travel agencies,0
ARG,Post and telecommunications,1
ARG,Financial intermediation,0
ARG,Real estate activities,0
ARG,"Food, beverages, and tobacco",1
ARG,Renting of M&Eq and other business activities,0
ARG,Public administration and defense; compulsory social security,0
ARG,Education,1
ARG,Health and social work,0
ARG,"Other community, social, and personal services (creative industry)",1
ARG,Private households with employed persons,1
ARG,Textiles and textile products,0
ARG,"Leather, leather products, and footwear",0
ARG,Wood and products of wood and cork,0
ARG,"Pulp, paper, paper products, printing, and publishing",1
ARG,"Coke, refined petroleum, and nuclear fuel",1
ARG,Chemicals and chemical products,1
ARM,"Agriculture, hunting, forestry, and fishing",1
ARM,Rubber and plastics,0
ARM,Other nonmetallic minerals,0
ARM,Basic metals and fabricated metal,0
ARM,"Machinery, nec",0
ARM,Electrical and optical equipment,0
ARM,Transport equipment,0
ARM,"Manufacturing, nec; recycling",0
ARM,"Electricity, gas, and water supply",0
ARM,Construction,1
ARM,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",0
ARM,Mining and quarrying,1
ARM,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",1
ARM,"Retail trade, except of motor vehicles and motorcycles; repair of household goods",1
ARM,Hotels and restaurants,1
ARM,Inland transport,0
ARM,Water transport,0
ARM,Air transport,0
ARM,Other supporting and auxiliary transport activities; activities of travel agencies,1
ARM,Post and telecommunications,1
ARM,Financial intermediation,1
ARM,Real estate activities,1
ARM,"Food, beverages, and tobacco",1
ARM,Renting of M&Eq and other business activities,0
ARM,Public administration and defense; compulsory social security,0
ARM,Education,0
ARM,Health and social work,1
ARM,"Other community, social, and personal services (creative industry)",1
ARM,Private households with employed persons,0
ARM,Textiles and textile products,0
ARM,"Leather, leather products, and footwear",0
ARM,Wood and products of wood and cork,0
ARM,"Pulp, paper, paper products, printing, and publishing",0
ARM,"Coke, refined petroleum, and nuclear fuel",0
ARM,Chemicals and chemical products,0
AUS,"Agriculture, hunting, forestry, and fishing",0
AUS,Rubber and plastics,0
AUS,Other nonmetallic minerals,0
AUS,Basic metals and fabricated metal,0
AUS,"Machinery, nec",0
AUS,Electrical and optical equipment,0
AUS,Transport equipment,0
AUS,"Manufacturing, nec; recycling",0
AUS,"Electricity, gas, and water supply",0
AUS,Construction,1
AUS,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",0
AUS,Mining and quarrying,1
AUS,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",0
AUS,"Retail trade, except of motor vehicles and motorcycles; repair of household goods",1
AUS,Hotels and restaurants,0
AUS,Inland transport,0
AUS,Water transport,0
AUS,Air transport,1
AUS,Other supporting and auxiliary transport activities; activities of travel agencies,1
AUS,Post and telecommunications,1
AUS,Financial intermediation,1
AUS,Real estate activities,1
AUS,"Food, beverages, and tobacco",0
AUS,Renting of M&Eq and other business activities,1
AUS,Public administration and defense; compulsory social security,0
AUS,Education,1
AUS,Health and social work,1
AUS,"Other community, social, and personal services (creative industry)",0
AUS,Private households with employed persons,1
AUS,Textiles and textile products,0
AUS,"Leather, leather products, and footwear",0
AUS,Wood and products of wood and cork,1
AUS,"Pulp, paper, paper products, printing, and publishing",0
AUS,"Coke, refined petroleum, and nuclear fuel",0
AUS,Chemicals and chemical products,0
AUT,"Agriculture, hunting, forestry, and fishing",0
AUT,Rubber and plastics,0
AUT,Other nonmetallic minerals,0
AUT,Basic metals and fabricated metal,1
AUT,"Machinery, nec",1
AUT,Electrical and optical equipment,0
AUT,Transport equipment,0
AUT,"Manufacturing, nec; recycling",1
AUT,"Electricity, gas, and water supply",1
AUT,Construction,0
AUT,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",1
AUT,Mining and quarrying,0
AUT,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",0
AUT,"Retail trade, except of motor vehicles and motorcycles; repair of household goods",0
AUT,Hotels and restaurants,1
AUT,Inland transport,0
AUT,Water transport,0
AUT,Air transport,1
AUT,Other supporting and auxiliary transport activities; activities of travel agencies,1
AUT,Post and telecommunications,0
AUT,Financial intermediation,0
AUT,Real estate activities,1
AUT,"Food, beverages, and tobacco",0
AUT,Renting of M&Eq and other business activities,1
AUT,Public administration and defense; compulsory social security,0
AUT,Education,1
AUT,Health and social work,1
AUT,"Other community, social, and personal services (creative industry)",1
AUT,Private households with employed persons,0
